osmid,lat,lon
420469017,-7.2914858,112.7168808
420469019,-7.2912141,112.7158511
420469020,-7.2909888,112.7151214
420469021,-7.2906551,112.7145251
420797282,-7.2873781,112.7039677
420797285,-7.286676,112.701636
420808405,-7.2299766,112.7351699
420808413,-7.2287,112.7357574
420808426,-7.2265703,112.7358499
420808463,-7.2226205,112.7362038
420808482,-7.2226106,112.7329591
420808501,-7.2229809,112.7323289
420808518,-7.2260561,112.7314554
420808534,-7.2259518,112.7312101
420808537,-7.2245276,112.7317972
420808542,-7.2234852,112.732003
420808546,-7.2229154,112.7320933
420808555,-7.2221494,112.7314418
420808562,-7.2213877,112.7310133
420808580,-7.219839,112.7295092
420808806,-7.2233243,112.7225706
420808811,-7.2242828,112.7224609
420808812,-7.2244138,112.7223428
420812012,-7.3078992,112.7055723
420812015,-7.3088935,112.7117394
420812016,-7.309096,112.7115304
420812017,-7.3091817,112.7114625
420812018,-7.3093898,112.7113209
420812043,-7.3086815,112.7109557
420812057,-7.3087476,112.7109003
420815777,-7.3168718,112.7174957
420815804,-7.3291101,112.7149831
420895409,-7.2783767,112.7557679
420895411,-7.2935641,112.7551358
420895416,-7.2891529,112.755783
420895417,-7.2890074,112.7557834
420895427,-7.2890042,112.7559006
420895432,-7.2891508,112.7559025
420895486,-7.2889945,112.7551493
420895507,-7.2926863,112.7507425
420895529,-7.2934108,112.7531509
420895564,-7.2915207,112.7480014
420896599,-7.2905647,112.7434313
420957724,-7.3086564,112.707985
420957725,-7.3079845,112.7053191
420957754,-7.3102858,112.7105938
420957758,-7.3100279,112.7109041
420957759,-7.3106453,112.7106233
420957781,-7.310347,112.7107351
421136051,-7.2451436,112.7147967
421171022,-7.2636426,112.78301
421171024,-7.2634184,112.7829861
421171041,-7.2683439,112.7723178
421171057,-7.280517,112.7808237
421171071,-7.280703,112.7808342
421171096,-7.2749658,112.7835236
421171098,-7.2751105,112.7837977
421171117,-7.2769653,112.7829079
421171138,-7.2775231,112.7810252
421171146,-7.2785878,112.781005
421171157,-7.2789736,112.7808179
421171159,-7.2777473,112.7808541
421171183,-7.2772584,112.7808817
421171189,-7.2753523,112.7814067
421171191,-7.2746773,112.7815897
421171211,-7.2634527,112.782786
421171221,-7.2636573,112.7823329
421171237,-7.2645981,112.7793892
421171240,-7.2645176,112.7788084
421171252,-7.2644657,112.7784
421171258,-7.2642426,112.7763751
421171261,-7.2642099,112.7758972
421171263,-7.2641403,112.7752743
421171266,-7.2639973,112.7740706
421171269,-7.2638884,112.773311
421171271,-7.2638116,112.772411
421171285,-7.2676808,112.771164
421171287,-7.2682193,112.7723327
421171307,-7.2663267,112.7717192
421171310,-7.2670424,112.7715078
421171359,-7.2661661,112.7515617
421177518,-7.2580126,112.75415
421177524,-7.258312,112.7547362
421177562,-7.2601876,112.7543386
421177683,-7.2636433,112.7534574
421177713,-7.2719109,112.7817927
421177728,-7.2719299,112.7819373
421200940,-7.2834236,112.6893297
421200943,-7.2831683,112.6880251
421200947,-7.2828416,112.6859024
421200959,-7.2873649,112.6786144
421210769,-7.2562106,112.7439381
421210771,-7.2570944,112.7442645
421219478,-7.2863694,112.7341843
421219486,-7.2862161,112.7368035
421219495,-7.2867733,112.7332769
421219515,-7.284987,112.7055837
421226962,-7.2728057,112.7425335
421230630,-7.2398572,112.7452727
421230636,-7.2387234,112.7451209
421263704,-7.2844474,112.7332513
421263706,-7.2812657,112.7404783
421263707,-7.2853351,112.7314376
421263708,-7.2835204,112.7353095
421263709,-7.2832814,112.7356466
421263713,-7.2818353,112.7391483
421263894,-7.2481277,112.7785149
421263896,-7.2516893,112.7777847
421263899,-7.2503323,112.7780663
421263900,-7.2498675,112.7781655
421263903,-7.2488987,112.7783184
421263940,-7.2518002,112.7735701
421263941,-7.2519953,112.7744533
421263942,-7.2508431,112.7748492
421998714,-7.2593669,112.756815
421998715,-7.2600135,112.7580058
421998716,-7.2601745,112.7583143
429976293,-7.2919761,112.7488989
429976297,-7.292002,112.7427828
429979896,-7.2645234,112.753513
429985686,-7.2574578,112.7094521
429985691,-7.2449593,112.7142096
429985693,-7.2450771,112.7137295
429985705,-7.2602188,112.7083664
429985745,-7.26025,112.7085344
429990479,-7.2265554,112.7752216
429990489,-7.2186941,112.7773758
429990565,-7.2639038,112.7753199
429990590,-7.2643981,112.7788666
534580366,-7.3462602,112.7292748
534580441,-7.3451645,112.7293557
659611883,-7.2926082,112.6718854
659960136,-7.241762,112.7457444
659960153,-7.2430206,112.7473884
659967728,-7.2646576,112.7455774
659967745,-7.2630414,112.7418427
660841692,-7.2910433,112.7389177
660841709,-7.2993077,112.7373722
660841721,-7.347686,112.7278321
660841723,-7.3480111,112.7283488
660845587,-7.2387741,112.7334497
660845603,-7.2381971,112.7334724
660845608,-7.2377944,112.7334435
660845628,-7.238195,112.7341431
660851449,-7.2609038,112.7397904
660853841,-7.2792752,112.7622434
660853845,-7.2689913,112.7607395
660853847,-7.2707083,112.7606918
660853856,-7.2747693,112.7623832
761740719,-7.2946673,112.7475636
761740725,-7.2946781,112.7476228
761740750,-7.2943204,112.7502558
761740797,-7.2936606,112.7483138
761740816,-7.2949004,112.752081
761740824,-7.2954871,112.7540196
761740840,-7.2936449,112.7544786
761740851,-7.2941768,112.7479411
761740982,-7.2933493,112.7485312
818739512,-7.3447688,112.7354102
821531330,-7.2342498,112.7426869
831064113,-7.2744533,112.7979686
831069657,-7.2903701,112.7997761
831069661,-7.283767,112.8026634
831069666,-7.2841143,112.8019128
831071046,-7.2411371,112.7977746
831071066,-7.2409048,112.7951428
831075196,-7.2248367,112.7874916
831075199,-7.2225758,112.7873819
831075206,-7.2354163,112.7950485
831075220,-7.2307916,112.792788
831075226,-7.2257772,112.7878164
831078163,-7.2300496,112.7572078
831078164,-7.2388431,112.7582283
831079657,-7.287876,112.76372
831079899,-7.2967974,112.801149
831080286,-7.2977766,112.8005862
831080288,-7.3049357,112.7993826
831080800,-7.2898616,112.7752281
831084060,-7.2803603,112.7720679
838481436,-7.2581518,112.795559
838481589,-7.2792699,112.7899555
838481606,-7.2745488,112.7976485
838481610,-7.2744151,112.7977808
838515756,-7.2933279,112.802293
838515763,-7.2934748,112.803601
838515768,-7.2932747,112.804988
838515771,-7.2928955,112.8050329
